HOTEL_ID,ROOM_ID,LISTING_ID
76436,7643601,76436-7643601
76436,7643602,76436-7643602
76453,7645303,76453-7645303
76453,7645308,76453-7645308
76453,7645311,76453-7645311
76453,7645312,76453-7645312
76453,7645313,76453-7645313
76453,7645314,76453-7645314
76453,7645315,76453-7645315
76453,7645316,76453-7645316
76453,7645317,76453-7645317
76471,7647109,76471-7647109
76471,7647111,76471-7647111
76471,7647114,76471-7647114
76471,7647123,76471-7647123
76471,7647126,76471-7647126
76471,7647127,76471-7647127
76471,7647129,76471-7647129
76471,7647130,76471-7647130
76471,7647131,76471-7647131
76471,7647132,76471-7647132
76471,7647133,76471-7647133
76471,7647134,76471-7647134
76471,7647135,76471-7647135
76471,7647136,76471-7647136
76471,7647138,76471-7647138
76471,7647139,76471-7647139
76471,7647140,76471-7647140
76471,7647141,76471-7647141
76471,7647142,76471-7647142
76471,7647143,76471-7647143
76471,7647144,76471-7647144
76471,7647145,76471-7647145
76471,7647146,76471-7647146
76471,7647147,76471-7647147
76471,7647148,76471-7647148
76471,7647149,76471-7647149
76471,7647150,76471-7647150
76471,7647151,76471-7647151
76471,7647152,76471-7647152
76471,7647153,76471-7647153
76471,7647154,76471-7647154
76488,7648842,76488-7648842
76488,7648844,76488-7648844
76488,7648845,76488-7648845
76488,7648846,76488-7648846
76488,7648847,76488-7648847
76488,7648849,76488-7648849
76488,7648850,76488-7648850
76488,7648851,76488-7648851
76488,7648853,76488-7648853
76488,7648855,76488-7648855
76488,7648857,76488-7648857
76488,7648858,76488-7648858
76488,7648859,76488-7648859
76488,7648860,76488-7648860
76488,7648861,76488-7648861
76488,7648865,76488-7648865
76488,7648866,76488-7648866
76488,7648868,76488-7648868
76488,7648869,76488-7648869
76488,7648870,76488-7648870
76488,7648871,76488-7648871
76489,7648902,76489-7648902
177578,17758046,177578-17758046
188345,18834501,188345-18834501
188345,18834526,188345-18834526
188345,18834527,188345-18834527
188345,18834529,188345-18834529
188345,18834534,188345-18834534
188348,18834809,188348-18834809
188348,18834810,188348-18834810
188348,18834811,188348-18834811
188348,18834813,188348-18834813
188348,18834814,188348-18834814
188348,18834817,188348-18834817
188348,18834818,188348-18834818
188348,18834819,188348-18834819
188348,18834820,188348-18834820
188369,18836903,188369-18836903
188369,18836911,188369-18836911
188369,18836924,188369-18836924
188369,18836925,188369-18836925
188369,18836926,188369-18836926
188369,18836927,188369-18836927
188369,18836928,188369-18836928
188369,18836930,188369-18836930
188369,18836931,188369-18836931
188369,18836932,188369-18836932
188369,18836933,188369-18836933
188369,18836934,188369-18836934
188369,18836935,188369-18836935
188369,18836936,188369-18836936
188369,18836937,188369-18836937
188369,18836938,188369-18836938
188369,18836939,188369-18836939
235120,23512002,235120-23512002
235120,23512005,235120-23512005
235120,23512006,235120-23512006
235120,23512007,235120-23512007
235120,23512008,235120-23512008
235120,23512009,235120-23512009
244690,24469012,244690-24469012
244690,24469018,244690-24469018
247171,24717101,247171-24717101
247171,24717102,247171-24717102
247171,24717104,247171-24717104
247171,24717106,247171-24717106
247171,24717107,247171-24717107
247171,24717108,247171-24717108
247171,24717109,247171-24717109
247171,24717110,247171-24717110
247171,24717111,247171-24717111
247171,24717112,247171-24717112
247171,24717113,247171-24717113
247171,24717114,247171-24717114
247171,24717115,247171-24717115
247171,24717116,247171-24717116
247171,24717117,247171-24717117
247171,24717118,247171-24717118
247171,24717119,247171-24717119
247171,24717120,247171-24717120
247171,24717121,247171-24717121
247171,24717122,247171-24717122
247171,24717123,247171-24717123
247171,24717124,247171-24717124
247171,24717125,247171-24717125
247171,24717126,247171-24717126
247171,24717127,247171-24717127
247171,24717128,247171-24717128
247171,24717129,247171-24717129
247171,24717130,247171-24717130
247171,24717131,247171-24717131
247171,24717132,247171-24717132
247171,24717133,247171-24717133
247171,24717134,247171-24717134
247171,24717135,247171-24717135
247171,24717136,247171-24717136
247171,24717137,247171-24717137
247171,24717138,247171-24717138
247171,24717139,247171-24717139
247171,24717140,247171-24717140
247171,24717141,247171-24717141
247171,24717142,247171-24717142
247171,24717143,247171-24717143
247171,24717144,247171-24717144
247171,24717145,247171-24717145
247171,24717146,247171-24717146
247171,24717147,247171-24717147
247171,24717148,247171-24717148
247171,24717149,247171-24717149
247171,24717150,247171-24717150
247171,24717151,247171-24717151
247171,24717152,247171-24717152
247171,24717153,247171-24717153
247171,24717155,247171-24717155
247171,24717156,247171-24717156
255694,25569401,255694-25569401
255694,25569402,255694-25569402
255694,25569406,255694-25569406
255694,25569408,255694-25569408
255694,25569409,255694-25569409
255694,25569410,255694-25569410
255694,25569411,255694-25569411
263036,26303603,263036-26303603
263053,26305302,263053-26305302
263053,26305307,263053-26305307
263053,26305308,263053-26305308
263053,26305309,263053-26305309
263053,26305310,263053-26305310
263053,26305311,263053-26305311
263470,26347009,263470-26347009
263470,26347010,263470-26347010
263470,26347011,263470-26347011
263470,26347012,263470-26347012
263647,26364708,263647-26364708
263647,26364709,263647-26364709
263671,26367105,263671-26367105
263671,26367107,263671-26367107
263671,26367108,263671-26367108
263671,26367109,263671-26367109
263671,26367110,263671-26367110
263671,26367111,263671-26367111
263671,26367112,263671-26367112
263671,26367113,263671-26367113
303836,30383601,303836-30383601
